policy_loss,approxkl,time_elapsed,serial_timesteps,nupdates,eplenmean,eprewmean,total_timesteps,explained_variance,fps,policy_entropy,clipfrac,value_loss,score
-0.0088867,0.00940843,43717.01521110535,180224,88,146.63,49.02154264,2883584,0.984578276053071,59,22.0088,0.130582,0.262536,49.0215426187
-0.00875547,0.00908744,44277.73986530304,182272,89,144.59,49.49635562,2916352,0.9790412578731775,58,21.9608,0.12691,0.350799,49.4963555916
-0.00901248,0.0101511,44827.51712322235,184320,90,146.73,49.3954645,2949120,0.9789057616144419,59,21.9442,0.144281,0.372288,49.3954644883
-0.00851748,0.00954827,45403.26166677475,186368,91,145.96,51.15361101,2981888,0.9782051723450422,56,21.9085,0.135007,0.359557,51.1536110429
-0.00737548,0.00973509,46074.09171009064,188416,92,148.89,52.06795054,3014656,0.9803552385419607,48,21.8473,0.137222,0.325144,52.0679505019
-0.00780736,0.00917802,46766.99597120285,190464,93,149.36,52.43359383,3047424,0.9866106221452355,47,21.8033,0.126117,0.241355,52.4335938755
-0.00856504,0.00987882,47406.40640616417,192512,94,154.78,54.84547804,3080192,0.9888230599462986,51,21.7743,0.136563,0.1901,54.8454780754
-0.00926424,0.0103633,48042.53460645676,194560,95,154.63,55.2572688,3112960,0.9905653093010187,51,21.7235,0.147787,0.179365,55.2572687818
-0.0103018,0.0107631,48758.33878135681,196608,96,157.72,57.10056825,3145728,0.9967959050554782,45,21.6485,0.156268,0.0569245,57.1005682646
-0.00957595,0.0104049,49407.72141122818,198656,97,160.07,57.57885176,3178496,0.9958501351065934,50,21.6104,0.147195,0.073764,57.5788517713
-0.011766,0.011156,50086.31498527527,200704,98,157.12,57.70697248,3211264,0.9981368542648852,48,21.5327,0.16076,0.0354199,57.7069724583
-0.00886876,0.0110039,50757.47286462784,202752,99,160.81,59.64274081,3244032,0.9930308377370238,48,21.4555,0.158691,0.129265,59.6427407904
-0.00895925,0.0108585,51556.100986242294,204800,100,158.14,58.80104726,3276800,0.9960706387646496,41,21.4002,0.156338,0.0728515,58.8010472509
-0.00959094,0.0106633,52321.34448957443,206848,101,161.41,60.43144699,3309568,0.9968143226578832,42,21.3358,0.156064,0.0623952,60.4314469922
-0.0112641,0.0113967,53059.09978508949,208896,102,161.8,61.57839376,3342336,0.9976317854598165,44,21.2784,0.168591,0.0491012,61.5783937622
-0.00958538,0.0107879,54065.21899986267,210944,103,161.58,61.83121038,3375104,0.9945762879215181,32,21.2723,0.156509,0.111839,61.8312104034
-0.00974312,0.0108592,55195.53356170654,212992,104,164.92,63.98492496,3407872,0.993463063146919,28,21.2306,0.15596,0.143509,63.9849249647
-0.0103388,0.0115938,55933.83671498299,215040,105,165.7,64.73802882,3440640,0.994056882802397,44,21.2051,0.168713,0.138695,64.7380287941
-0.00908173,0.0115436,56787.0442738533,217088,106,165.46,66.1147753,3473408,0.995298164896667,38,21.1629,0.168689,0.121736,66.1147752826
-0.00941591,0.0111612,57525.56342506409,219136,107,167.3,67.34474547,3506176,0.9938120916485786,44,21.0657,0.160657,0.151329,67.344745474
-0.00797508,0.0109857,58457.0189769268,221184,108,168.67,69.04084474,3538944,0.9941065325401723,35,21.0094,0.159387,0.167321,69.0408447693
-0.00707184,0.0107606,59506.11740589142,223232,109,173.13,71.84473781,3571712,0.9910247838124633,31,20.9575,0.154501,0.252043,71.8447377629
-0.00770001,0.0101627,60376.6358602047,225280,110,174.04,73.1275733,3604480,0.9923096895217896,37,20.907,0.144562,0.238102,73.1275732914
-0.00830586,0.0107006,61407.72374987602,227328,111,173.55,73.4985069,3637248,0.9915340226143599,31,20.8678,0.151999,0.270601,73.4985069178
-0.00587831,0.00978784,62166.95125865936,229376,112,178.25,75.88746344,3670016,0.9898928003385663,43,20.8153,0.137131,0.315436,75.887463439
-0.00729691,0.0104919,63060.61857223511,231424,113,175.14,75.52313991,3702784,0.9920680103823543,36,20.7383,0.14845,0.261374,75.5231399395
-0.00630853,0.00943018,63919.97251081467,233472,114,176.29,76.7621427,3735552,0.9916410436853766,38,20.725,0.130194,0.278226,76.7621426855
-0.00730394,0.00979381,65109.67491078377,235520,115,178.96,78.12026652,3768320,0.9922154396772385,27,20.7101,0.137659,0.274293,78.1202665329
-0.00654164,0.00954352,65909.7005701065,237568,116,182.83,80.70641878,3801088,0.9902534112334251,40,20.672,0.131174,0.331089,80.7064187506
-0.0062219,0.0100895,66865.68199205399,239616,117,184.22,81.7206521,3833856,0.9917816678062081,34,20.6467,0.141617,0.301939,81.7206520916
-0.0065009,0.00975588,67600.6356101036,241664,118,185.19,82.22507758,3866624,0.9933789493516088,44,20.6244,0.135611,0.242146,82.2250776752
-0.00719492,0.0105344,68471.62264871597,243712,119,182.47,81.52186753,3899392,0.9920176779851317,37,20.5835,0.149097,0.279905,81.5218674996
-0.00675858,0.00995929,69324.22618460655,245760,120,183.27,82.47844062,3932160,0.9939842163585126,38,20.5541,0.140948,0.235292,82.4784405971
-0.00604623,0.0101154,70321.99217176437,247808,121,185.41,84.60469074,3964928,0.9931113570928574,32,20.5029,0.141824,0.275524,84.604690745
-0.00568578,0.00944481,71250.7601416111,249856,122,189.42,85.84781079,3997696,0.9927151286974549,35,20.4353,0.129874,0.266784,85.8478108388
-0.00590735,0.00943139,72120.22220563889,251904,123,185.84,84.53924171,4030464,0.9937587291933596,37,20.387,0.130185,0.237258,84.5392417297
-0.00644174,0.00999183,72915.51296973228,253952,124,187.81,86.67152152,4063232,0.993968531023711,41,20.3514,0.141635,0.238599,86.671521567
-0.00585743,0.0104194,73801.32118940353,256000,125,184.95,85.1363028,4096000,0.9941095877438784,36,20.2778,0.147961,0.224872,85.136302804
-0.00574268,0.0107857,74593.4174978733,258048,126,193.3,89.01684568,4128768,0.9916948294267058,41,20.2406,0.152173,0.319965,89.0168456702
-0.00597404,0.0100699,75433.8430917263,260096,127,185.05,85.94840096,4161536,0.9958441727794707,38,20.1937,0.140494,0.164411,85.9484009173
-0.00702433,0.0106654,76225.73405194283,262144,128,184.54,85.91452121,4194304,0.9962053201161325,41,20.1375,0.149271,0.152236,85.9145211759
-0.00709064,0.0106964,77126.1464483738,264192,129,185.98,87.09326712,4227072,0.9955721003934741,36,20.0583,0.151807,0.169172,87.0932671014
